compound_id,compound_name,antifungal,antiinflammatory,antiviral,neuroprotective,hepatoprotective,hypoglycaemic,CNS_depressant,anthelmintic,antioxidant,purgative,activity_count,primary_activity
CS001,Kaempferol,1,1,0,1,0,0,1,0,1,0,5,antiinflammatory
CS002,Quercetin,1,1,1,1,1,0,0,0,1,0,6,hepatoprotective
CS003,Aloe-emodin,1,1,1,0,0,0,0,0,0,1,4,antiviral
CS004,Chrysophanol,1,0,0,0,0,0,0,0,0,1,2,antifungal
CS005,Rhein,1,1,0,1,0,0,0,0,0,1,4,antifungal
CS006,Luteolin,0,1,1,1,0,0,1,0,1,0,5,neuroprotective
CS007,Emodin,0,1,1,1,0,0,0,0,0,1,4,antiviral
CS008,Apigenin,1,1,0,1,0,0,1,0,0,0,4,CNS_depressant
CS009,Kaempferide,1,0,0,0,0,0,0,0,0,0,1,antifungal
CS010,Naringenin,0,1,0,1,0,1,0,0,1,0,4,hypoglycaemic
CS011,Physcion,0,1,1,0,1,0,0,0,1,0,4,antiviral
CS012,Barbaloin,0,1,0,1,0,0,0,1,0,1,4,antiinflammatory
CS013,Vitexin,0,1,0,1,0,0,1,0,1,0,4,neuroprotective
CS014,Isovitexin,0,1,0,1,0,0,1,0,1,0,4,neuroprotective
CS015,Cassiaside,1,1,0,0,0,0,0,0,0,0,2,antifungal
CS016,Sennoside_A,1,1,0,0,0,0,0,1,0,1,4,purgative
CS017,Obtusifolin,0,1,1,0,0,1,0,0,0,0,3,hypoglycaemic
CS018,Rubrofusarin,0,1,1,0,1,0,0,0,1,0,4,antiviral
CS019,Quercetin_3_glucoside,0,1,1,1,1,0,0,0,1,0,5,hepatoprotective
CS020,Kaempferol_3_glucoside,0,1,0,1,1,1,0,0,1,0,5,hepatoprotective
