compound_id,compound_name,smiles,heavy_atoms,total_bonds,ring_count,aromatic_rings,sp2_atoms,sp3_atoms,has_sugar_ring,sugar_conformation,b_ring_dihedral_deg,planarity_class,expected_3d_shape,scaffold_type
CS001,Kaempferol,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,21,23,3,3,19,2,FALSE,none,30,high,flat_AC_ring_plus_rotated_B_ring,flavonol
CS002,Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,22,24,3,3,20,2,FALSE,none,35,high,flat_AC_ring_plus_catechol_B_ring,flavonol
CS003,Aloe-emodin,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,20,22,3,3,18,2,FALSE,none,0,very_high,fully_flat_3_fused_rings,anthraquinone
CS004,Chrysophanol,Cc1cc(O)c2C(=O)c3cccc(O)c3C(=O)c2c1,19,21,3,3,17,2,FALSE,none,0,very_high,fully_flat_3_fused_rings,anthraquinone
CS005,Rhein,O=C(O)c1ccc2C(=O)c3cccc(O)c3C(=O)c2c1O,21,23,3,3,17,2,FALSE,none,0,high,flat_anthraquinone_plus_ionisable_COOH,anthraquinone
CS006,Luteolin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,21,23,3,3,19,2,FALSE,none,25,high,flat_chromone_plus_catechol_B_ring,flavone
CS007,Emodin,Cc1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1O,19,21,3,3,17,2,FALSE,none,0,very_high,fully_flat_3_fused_rings,anthraquinone
CS008,Apigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,20,22,3,3,18,2,FALSE,none,28,high,flat_chromone_plus_monoOH_B_ring,flavone
CS009,Kaempferide,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,22,24,3,3,20,2,FALSE,none,30,high,flat_AC_plus_methoxy_B_ring,methoxyflavonol
CS010,Naringenin,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,20,22,3,2,16,4,FALSE,none,45,moderate,puckered_halfchair_C_ring_unique,flavanone
CS011,Physcion,COc1cc(O)c2C(=O)c3cccc(O)c3C(=O)c2c1,21,23,3,3,17,4,FALSE,none,0,high,flat_anthraquinone_methoxy_methyl,anthraquinone
CS012,Barbaloin,OCC1OC(c2c(O)cc(O)c3C(=O)c4cccc(O)c4C3=O)C(O)C(O)C1O,30,32,4,3,15,15,TRUE,4C1_chair,90,mixed,L_shaped_anthraquinone_plus_chair_sugar,anthraquinone_glycoside
CS013,Vitexin,OCC1OC(c2oc3cc(O)cc(O)c3c(=O)c2-c2ccc(O)cc2)C(O)C(O)C1O,33,36,4,3,19,14,TRUE,4C1_chair,30,mixed,flat_flavone_plus_C8_chair_sugar,flavone_C_glycoside
CS014,Isovitexin,OCC1OC(c2oc3cc(O)cc(O)c3c(=O)c2-c2ccc(O)cc2)C(O)C(O)C1O,33,36,4,3,19,14,TRUE,4C1_chair,30,mixed,flat_flavone_plus_C6_chair_sugar,flavone_C_glycoside
CS015,Cassiaside,OCC1OC(Oc2ccc3c(=O)c(-c4ccc(O)cc4)coc3c2)C(O)C(O)C1O,30,33,4,2,17,13,TRUE,4C1_chair,30,mixed,flat_chromone_plus_O_linked_chair_sugar,O_glycoside
CS016,Sennoside_A,long_smiles_see_master_csv,62,68,8,6,30,32,TRUE,4C1_chair_x2,0,complex,two_flat_anthraquinones_two_chairs,anthraquinone_diglycoside
CS017,Obtusifolin,COc1cc2c(cc1OC)C(=O)c1cccc(O)c1C2=O,21,23,3,3,17,4,FALSE,none,0,very_high,fully_flat_dimethoxy_anthraquinone,anthraquinone
CS018,Rubrofusarin,COc1cc(O)c2C(=O)c3c(OC)cc(O)cc3C(=O)c2c1,21,23,3,3,17,4,FALSE,none,0,very_high,symmetric_flat_dimethoxy_anthraquinone,anthraquinone
CS019,Quercetin_3_glucoside,OCC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,35,38,4,3,20,15,TRUE,4C1_chair,35,mixed,flat_quercetin_plus_O3_chair_sugar,flavonol_O_glycoside
CS020,Kaempferol_3_glucoside,OCC1OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,34,37,4,3,19,15,TRUE,4C1_chair,30,mixed,flat_kaempferol_plus_O3_chair_sugar,flavonol_O_glycoside
