PART,ALKALOIDS,FLAVANOIDS,TANNINS,TERPENOIDS,STEROIDS,PHENOLS,SAPONINS,ANTHRA,SOLUTION,TEMPERATURE
SEED,1,1,1,1,1,0,1,0,90% ETHANOL,ROOM TEMPERATURE
LEAF,0,0,1,1,0,0,0.5,0,90% ETHANOL,ROOM TEMPERATURE
STEM,1,0,0,1,0,0,1,0,90% ETHANOL,ROOM TEMPERATURE
FLOWER,1,0,0,1,0,0,1,0,90% ETHANOL,ROOM TEMPERATURE
POD,1,,,1,1,0,0.25,0,90% ETHANOL,ROOM TEMPERATURE
SEED,1,1,1,1,0,0,1,0,Aqueous,ROOM TEMPERATURE
LEAF,1,1,1,0,1,0,1,0,Aqueous,ROOM TEMPERATURE
STEM,1,1,1,1,0,0,1,0,Aqueous,ROOM TEMPERATURE
FLOWER,1,1,1,1,0,0,1,0,Aqueous,ROOM TEMPERATURE
POD,1,1,1,1,1,0,1,0,Aqueous,ROOM TEMPERATURE
SEED,,,,,0,,,,100% ETHANOL,ROOM TEMPERATURE
LEAF,0,0,,1,0,0,1,,100% ETHANOL,ROOM TEMPERATURE
STEM,1,0,1,0,1,0,1,,100% ETHANOL,ROOM TEMPERATURE
FLOWER,1,0,,1,0,0,0,,100% ETHANOL,ROOM TEMPERATURE
POD,0,0,,0,1,0,0,,100% ETHANOL,ROOM TEMPERATURE
SEED,1,1,1,,,,0,,80% ETHANOL,ROOM TEMPERATURE
LEAF,1,1,0,,,,0,1,80% ETHANOL,ROOM TEMPERATURE
STEM,1,1,1,,,,1,0,80% ETHANOL,ROOM TEMPERATURE
FLOWER,1,1,1,,,,0,0,80% ETHANOL,ROOM TEMPERATURE
POD,1,0,1,,,,0,1,80% ETHANOL,ROOM TEMPERATURE
SEED,1,0,1,1,0,0,0,0,100% ETHANOL,50 degrees
LEAF,0,0,1,0,0,0,0,0,100% ETHANOL,50 degrees
STEM,1,0,1,0,0,0,1,0,100% ETHANOL,50 degrees
FLOWER,1,0,1,1,1,0,0,0,100% ETHANOL,50 degrees
POD,1,0,   ,0,0,0,   ,  ,100% ETHANOL,50 degrees
SEED,1,1,1,0,1,0,0, ,90% ETHANOL,50 degrees
LEAF, , ,1, , ,,0, ,90% ETHANOL,50 degrees
STEM,1,0,1,0,1,0,1,0,90% ETHANOL,50 degrees
FLOWER,1,0,0,1,0,0,0,0,90% ETHANOL,50 degrees
POD,1,0,1,1,0,0,0,0,90% ETHANOL,50 degrees
SEED,1,1,1,1,0,0,0,0,80% ETHANOL,50 degrees
LEAF,0,0,1,1,0,0,1,0,80% ETHANOL,50 degrees
STEM,1,0,1,0,0,0,0,0,80% ETHANOL,50 degrees
FLOWER, ,0,1, , ,0,0, ,80% ETHANOL,50 degrees
POD,1,0,1,0,1,0,0,0,80% ETHANOL,50 degrees
SEED,0,1,0,,0,0,1,0,Aqueous,50 degrees
LEAF,1,1,1,0,0,0,0,0,Aqueous,50 degrees
STEM,1,1,1,,0,0,0,0,Aqueous,50 degrees
FLOWER,1,0,1,1,0,0,1,0,Aqueous,50 degrees
POD,1,1,1,,0,0,1,0,Aqueous,50 degrees
