plant part	ALKALOIDS	FLAVANOIDS	TANNINS	TERPENOIDS	STEROIDS	PHENOLS	SAPONINS	ANTHRA	
SEED	1	1	1	1	1	0	1	0	90% ETHANOL
LEAF	0	0	1	1	0	0	0.75	0	90% ETHANOL
STEM	1	0	0	1	0	0	1	0	90% ETHANOL
FLOWER	1	0	0	1	0	0	1	0	90% ETHANOL
POD	1			1	1	0	0.25	0	90% ETHANOL
SEED	1	1	1	1	0	0	1	0	Aqueous
LEAF	1	1	1	0	1	0	1	0	Aqueous
STEM	1	1	1	1	0	0	1	0	Aqueous
FLOWER	1	1	1	1	0	0	1	0	Aqueous
POD	1	1	1	1	1	0	1	0	Aqueous
SEED					0				100% Ethanol
LEAF	0	0		1	0	0	1		100% Ethanol
STEM	1	0	1	0	1	0	1		100% Ethanol
FLOWER	1	0		1	0	0	0		100% Ethanol
POD	0	0		0	1	0	0		100% Ethanol
SEED	1	1	1				0		80% Ethanol
LEAF	1	1	0				0	1	80% Ethanol
STEM	1	1	1				1	0	80% Ethanol
FLOWER	1	1	1				0	0	80% Ethanol
POD	1	0	1				0	1	80% Ethanol
